Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2018-01-08 22:00:00,2018-01-08 23:00:00,2018-01-09 01:00:00,2018-01-09 02:00:00,22.1
2018-01-08 23:00:00,2018-01-09 00:00:00,2018-01-09 02:00:00,2018-01-09 03:00:00,22.1
2018-01-09 00:00:00,2018-01-09 01:00:00,2018-01-09 03:00:00,2018-01-09 04:00:00,23.79
2018-01-09 01:00:00,2018-01-09 02:00:00,2018-01-09 04:00:00,2018-01-09 05:00:00,23.79
2018-01-09 02:00:00,2018-01-09 03:00:00,2018-01-09 05:00:00,2018-01-09 06:00:00,23.79
2018-01-09 03:00:00,2018-01-09 04:00:00,2018-01-09 06:00:00,2018-01-09 07:00:00,23.79
2018-01-09 04:00:00,2018-01-09 05:00:00,2018-01-09 07:00:00,2018-01-09 08:00:00,28.25
2018-01-09 05:00:00,2018-01-09 06:00:00,2018-01-09 08:00:00,2018-01-09 09:00:00,28.99
2018-01-09 06:00:00,2018-01-09 07:00:00,2018-01-09 09:00:00,2018-01-09 10:00:00,39.05
2018-01-09 07:00:00,2018-01-09 08:00:00,2018-01-09 10:00:00,2018-01-09 11:00:00,39.07
2018-01-09 08:00:00,2018-01-09 09:00:00,2018-01-09 11:00:00,2018-01-09 12:00:00,28.96
2018-01-09 09:00:00,2018-01-09 10:00:00,2018-01-09 12:00:00,2018-01-09 13:00:00,28.96
2018-01-09 10:00:00,2018-01-09 11:00:00,2018-01-09 13:00:00,2018-01-09 14:00:00,28.96
2018-01-09 11:00:00,2018-01-09 12:00:00,2018-01-09 14:00:00,2018-01-09 15:00:00,27.92
2018-01-09 12:00:00,2018-01-09 13:00:00,2018-01-09 15:00:00,2018-01-09 16:00:00,27.0
2018-01-09 13:00:00,2018-01-09 14:00:00,2018-01-09 16:00:00,2018-01-09 17:00:00,26.5
2018-01-09 14:00:00,2018-01-09 15:00:00,2018-01-09 17:00:00,2018-01-09 18:00:00,26.5
2018-01-09 15:00:00,2018-01-09 16:00:00,2018-01-09 18:00:00,2018-01-09 19:00:00,27.7
2018-01-09 16:00:00,2018-01-09 17:00:00,2018-01-09 19:00:00,2018-01-09 20:00:00,42.21
2018-01-09 17:00:00,2018-01-09 18:00:00,2018-01-09 20:00:00,2018-01-09 21:00:00,42.09
2018-01-09 18:00:00,2018-01-09 19:00:00,2018-01-09 21:00:00,2018-01-09 22:00:00,31.5
2018-01-09 19:00:00,2018-01-09 20:00:00,2018-01-09 22:00:00,2018-01-09 23:00:00,30.59
2018-01-09 20:00:00,2018-01-09 21:00:00,2018-01-09 23:00:00,2018-01-10 00:00:00,30.15
2018-01-09 21:00:00,2018-01-09 22:00:00,2018-01-10 00:00:00,2018-01-10 01:00:00,29.23
2018-01-09 22:00:00,2018-01-09 23:00:00,2018-01-10 01:00:00,2018-01-10 02:00:00,28.56
2018-01-09 23:00:00,2018-01-10 00:00:00,2018-01-10 02:00:00,2018-01-10 03:00:00,28.87
2018-01-10 00:00:00,2018-01-10 01:00:00,2018-01-10 03:00:00,2018-01-10 04:00:00,28.3
2018-01-10 01:00:00,2018-01-10 02:00:00,2018-01-10 04:00:00,2018-01-10 05:00:00,27.95
2018-01-10 02:00:00,2018-01-10 03:00:00,2018-01-10 05:00:00,2018-01-10 06:00:00,27.57
2018-01-10 03:00:00,2018-01-10 04:00:00,2018-01-10 06:00:00,2018-01-10 07:00:00,28.04
2018-01-10 04:00:00,2018-01-10 05:00:00,2018-01-10 07:00:00,2018-01-10 08:00:00,30.17
2018-01-10 05:00:00,2018-01-10 06:00:00,2018-01-10 08:00:00,2018-01-10 09:00:00,36.62
2018-01-10 06:00:00,2018-01-10 07:00:00,2018-01-10 09:00:00,2018-01-10 10:00:00,44.01
2018-01-10 07:00:00,2018-01-10 08:00:00,2018-01-10 10:00:00,2018-01-10 11:00:00,47.98
2018-01-10 08:00:00,2018-01-10 09:00:00,2018-01-10 11:00:00,2018-01-10 12:00:00,47.98
2018-01-10 09:00:00,2018-01-10 10:00:00,2018-01-10 12:00:00,2018-01-10 13:00:00,48.04
2018-01-10 10:00:00,2018-01-10 11:00:00,2018-01-10 13:00:00,2018-01-10 14:00:00,47.78
2018-01-10 11:00:00,2018-01-10 12:00:00,2018-01-10 14:00:00,2018-01-10 15:00:00,31.2
2018-01-10 12:00:00,2018-01-10 13:00:00,2018-01-10 15:00:00,2018-01-10 16:00:00,28.96
2018-01-10 13:00:00,2018-01-10 14:00:00,2018-01-10 16:00:00,2018-01-10 17:00:00,30.7
2018-01-10 14:00:00,2018-01-10 15:00:00,2018-01-10 17:00:00,2018-01-10 18:00:00,48.03
2018-01-10 15:00:00,2018-01-10 16:00:00,2018-01-10 18:00:00,2018-01-10 19:00:00,48.9
2018-01-10 16:00:00,2018-01-10 17:00:00,2018-01-10 19:00:00,2018-01-10 20:00:00,51.9
2018-01-10 17:00:00,2018-01-10 18:00:00,2018-01-10 20:00:00,2018-01-10 21:00:00,29.2
2018-01-10 18:00:00,2018-01-10 19:00:00,2018-01-10 21:00:00,2018-01-10 22:00:00,29.2
2018-01-10 19:00:00,2018-01-10 20:00:00,2018-01-10 22:00:00,2018-01-10 23:00:00,39.72
2018-01-10 20:00:00,2018-01-10 21:00:00,2018-01-10 23:00:00,2018-01-11 00:00:00,35.81
2018-01-10 21:00:00,2018-01-10 22:00:00,2018-01-11 00:00:00,2018-01-11 01:00:00,31.92
2018-01-10 22:00:00,2018-01-10 23:00:00,2018-01-11 01:00:00,2018-01-11 02:00:00,30.34
2018-01-10 23:00:00,2018-01-11 00:00:00,2018-01-11 02:00:00,2018-01-11 03:00:00,31.01
2018-01-11 00:00:00,2018-01-11 01:00:00,2018-01-11 03:00:00,2018-01-11 04:00:00,30.03
2018-01-11 01:00:00,2018-01-11 02:00:00,2018-01-11 04:00:00,2018-01-11 05:00:00,29.86
2018-01-11 02:00:00,2018-01-11 03:00:00,2018-01-11 05:00:00,2018-01-11 06:00:00,29.97
